bin_lo,bin_hi,count,mean_vote_fraction,empirical_positive_rate
0.0,0.1,884,0.0,0.0022624434389140274
0.1,0.2,517,0.16666666666666666,0.01160541586073501
0.2,0.30000000000000004,0,,
0.30000000000000004,0.4,212,0.33333333333333337,0.05188679245283019
0.4,0.5,0,,
0.5,0.6000000000000001,70,0.5,0.24285714285714285
0.6000000000000001,0.7000000000000001,12,0.6666666666666666,0.16666666666666666
0.7000000000000001,0.8,0,,
0.8,0.9,7,0.8333333333333333,0.5714285714285714
0.9,1.0,0,,
